,code,country
0,236,AFGHANISTAN
1,101,ALBANIA
2,316,ALGERIA
3,102,ANDORRA
4,324,ANGOLA
5,529,ANGUILLA
6,518,ANTIGUA-BARBUDA
7,687,ARGENTINA 
8,151,ARMENIA
9,532,ARUBA
10,438,AUSTRALIA
11,103,AUSTRIA
12,152,AZERBAIJAN
13,512,BAHAMAS
14,298,BAHRAIN
15,274,BANGLADESH
16,513,BARBADOS
17,104,BELGIUM
18,581,BELIZE
19,386,BENIN
20,509,BERMUDA
21,153,BELARUS
22,242,BHUTAN
23,688,BOLIVIA
24,717,"BONAIRE, ST EUSTATIUS, SABA"
25,164,BOSNIA-HERZEGOVINA
26,336,BOTSWANA
27,689,BRAZIL
28,525,BRITISH VIRGIN ISLANDS
29,217,BRUNEI
30,105,BULGARIA
31,393,BURKINA FASO
32,243,BURMA
33,375,BURUNDI
34,310,CAMEROON
35,326,CAPE VERDE
36,526,CAYMAN ISLANDS
37,383,CENTRAL AFRICAN REPUBLIC
38,384,CHAD
39,690,CHILE
40,245,"CHINA, PRC"
41,721,CURACAO
42,270,CHRISTMAS ISLAND
43,271,COCOS ISLANDS
44,691,COLOMBIA
45,317,COMOROS
46,385,CONGO
47,467,COOK ISLANDS
48,575,COSTA RICA
49,165,CROATIA
50,584,CUBA
51,218,CYPRUS
52,140,CZECH REPUBLIC
53,723,FAROE ISLANDS (PART OF DENMARK)
54,108,DENMARK
55,322,DJIBOUTI
56,519,DOMINICA
57,585,DOMINICAN REPUBLIC
58,240,EAST TIMOR
59,692,ECUADOR
60,368,EGYPT
61,576,EL SALVADOR
62,399,EQUATORIAL GUINEA
63,372,ERITREA
64,109,ESTONIA
65,369,ETHIOPIA
66,604,FALKLAND ISLANDS
67,413,FIJI
68,110,FINLAND
69,111,FRANCE
70,601,FRENCH GUIANA
71,411,FRENCH POLYNESIA
72,387,GABON
73,338,GAMBIA
74,758,GAZA STRIP
75,154,GEORGIA
76,112,GERMANY
77,339,GHANA
78,143,GIBRALTAR
79,113,GREECE
80,520,GRENADA
81,507,GUADELOUPE
82,577,GUATEMALA
83,382,GUINEA
84,327,GUINEA-BISSAU
85,603,GUYANA
86,586,HAITI
87,726,HEARD AND MCDONALD IS.
88,149,HOLY SEE/VATICAN
89,528,HONDURAS
90,206,HONG KONG
91,114,HUNGARY
92,115,ICELAND
93,213,INDIA
94,759,INDIAN OCEAN AREAS (FRENCH)
95,729,INDIAN OCEAN TERRITORY
96,204,INDONESIA
97,249,IRAN
98,250,IRAQ
99,116,IRELAND
100,251,ISRAEL
101,117,ITALY
102,388,IVORY COAST
103,514,JAMAICA
104,209,JAPAN
105,253,JORDAN
106,201,KAMPUCHEA
107,155,KAZAKHSTAN
108,340,KENYA
109,414,KIRIBATI
110,732,KOSOVO
111,272,KUWAIT
112,156,KYRGYZSTAN
113,203,LAOS
114,118,LATVIA
115,255,LEBANON
116,335,LESOTHO
117,370,LIBERIA
118,381,LIBYA
119,119,LIECHTENSTEIN
120,120,LITHUANIA
121,121,LUXEMBOURG
122,214,MACAU
123,167,MACEDONIA
124,320,MADAGASCAR
125,345,MALAWI
126,273,MALAYSIA
127,220,MALDIVES
128,392,MALI
129,145,MALTA
130,472,MARSHALL ISLANDS
131,511,MARTINIQUE
132,389,MAURITANIA
133,342,MAURITIUS
134,760,MAYOTTE (AFRICA - FRENCH)
135,473,"MICRONESIA, FED. STATES OF"
136,157,MOLDOVA
137,122,MONACO
138,299,MONGOLIA
139,735,MONTENEGRO
140,521,MONTSERRAT
141,332,MOROCCO
142,329,MOZAMBIQUE
143,371,NAMIBIA
144,440,NAURU
145,257,NEPAL
146,123,NETHERLANDS
147,508,NETHERLANDS ANTILLES
148,409,NEW CALEDONIA
149,464,NEW ZEALAND
150,579,NICARAGUA
151,390,NIGER
152,343,NIGERIA
153,470,NIUE
154,275,NORTH KOREA
155,124,NORWAY
156,256,OMAN
157,258,PAKISTAN
158,474,PALAU
159,743,PALESTINE
160,504,PANAMA
161,441,PAPUA NEW GUINEA
162,693,PARAGUAY
163,694,PERU
164,260,PHILIPPINES
165,416,PITCAIRN ISLANDS
166,107,POLAND
167,126,PORTUGAL
168,297,QATAR
169,748,REPUBLIC OF SOUTH SUDAN
170,321,REUNION
171,127,ROMANIA
172,158,RUSSIA
173,376,RWANDA
174,128,SAN MARINO
175,330,SAO TOME AND PRINCIPE
176,261,SAUDI ARABIA
177,391,SENEGAL
178,142,SERBIA AND MONTENEGRO
179,745,SERBIA
180,347,SEYCHELLES
181,348,SIERRA LEONE
182,207,SINGAPORE
183,141,SLOVAKIA
184,166,SLOVENIA
185,412,SOLOMON ISLANDS
186,397,SOMALIA
187,373,SOUTH AFRICA
188,276,SOUTH KOREA
189,129,SPAIN
190,244,SRI LANKA
191,346,ST. HELENA
192,522,ST. KITTS-NEVIS
193,523,ST. LUCIA
194,502,ST. PIERRE AND MIQUELON
195,524,ST. VINCENT-GRENADINES
196,716,SAINT BARTHELEMY
197,736,SAINT MARTIN
198,749,SAINT MAARTEN
199,350,SUDAN
200,602,SURINAME
201,351,SWAZILAND
202,130,SWEDEN
203,131,SWITZERLAND
204,262,SYRIA
205,268,TAIWAN
206,159,TAJIKISTAN
207,353,TANZANIA
208,263,THAILAND
209,304,TOGO
210,417,TONGA
211,516,TRINIDAD AND TOBAGO
212,323,TUNISIA
213,264,TURKEY
214,161,TURKMENISTAN
215,527,TURKS AND CAICOS ISLANDS
216,420,TUVALU
217,352,UGANDA
218,162,UKRAINE
219,296,UNITED ARAB EMIRATES
220,135,UNITED KINGDOM
221,695,URUGUAY
222,163,UZBEKISTAN
223,410,VANUATU
224,696,VENEZUELA
225,266,VIETNAM
226,469,WALLIS AND FUTUNA ISLANDS
227,757,WEST INDIES (FRENCH)
228,333,WESTERN SAHARA
229,465,WESTERN SAMOA
230,216,YEMEN
231,139,YUGOSLAVIA
232,301,ZAIRE
233,344,ZAMBIA
234,315,ZIMBABWE
235,403,INVALID: AMERICAN SAMOA
236,712,INVALID: ANTARCTICA
237,700,INVALID: BORN ON BOARD SHIP
238,719,INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.)
239,574,INVALID: CANADA
240,720,INVALID: CANTON AND ENDERBURY ISLS
241,106,INVALID: CZECHOSLOVAKIA
242,739,INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)
243,394,INVALID: FRENCH SOUTHERN AND ANTARCTIC
244,501,INVALID: GREENLAND
245,404,INVALID: GUAM
246,730,INVALID: INTERNATIONAL WATERS
247,731,INVALID: JOHNSON ISLAND
248,471,"INVALID: MARIANA ISLANDS, NORTHERN"
249,737,INVALID: MIDWAY ISLANDS
250,753,INVALID: MINOR OUTLYING ISLANDS - USA
251,740,INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)
252,710,INVALID: NON-QUOTA IMMIGRANT
253,505,INVALID: PUERTO RICO
254,0,INVALID: STATELESS
255,705,INVALID: STATELESS
256,583,INVALID: UNITED STATES
257,407,INVALID: UNITED STATES
258,999,INVALID: UNKNOWN
259,239,INVALID: UNKNOWN COUNTRY
260,134,INVALID: USSR
261,506,INVALID: U.S. VIRGIN ISLANDS
262,755,INVALID: WAKE ISLAND
263,311,Collapsed Tanzania (should not show)
264,741,Collapsed Curacao (should not show)
265,54,No Country Code (54)
266,100,No Country Code (100)
267,187,No Country Code (187)
268,190,No Country Code (190)
269,200,No Country Code (200)
270,219,No Country Code (219)
271,238,No Country Code (238)
272,277,No Country Code (277)
273,293,No Country Code (293)
274,300,No Country Code (300)
275,319,No Country Code (319)
276,365,No Country Code (365)
277,395,No Country Code (395)
278,400,No Country Code (400)
279,485,No Country Code (485)
280,503,No Country Code (503)
281,589,No Country Code (589)
282,592,No Country Code (592)
283,791,No Country Code (791)
284,849,No Country Code (849)
285,914,No Country Code (914)
286,944,No Country Code (944)
287,996,No Country Code (996)' ;
